City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
227,Miedzyrzec Podlaski,PL,51.9864,22.7825,46.24,56,100,7.58,light rain
228,Eyl,SO,7.9803,49.8164,77.29,85,49,5.61,scattered clouds
229,Mountain Home,US,43.133,-115.6912,69.28,30,100,12.66,overcast clouds
230,Were Ilu,ET,10.6,39.4333,46.63,75,9,6.24,clear sky
231,Kolokani,ML,13.5728,-8.0339,82.11,35,77,5.35,broken clouds
232,Magole,TZ,-6.3667,37.3667,65.48,79,30,2.84,scattered clouds
233,Warrnambool,AU,-38.3833,142.4833,59.85,88,100,10.74,overcast clouds
234,Barranca,PE,-10.75,-77.7667,60.73,82,38,8.46,scattered clouds
235,Taltal,CL,-25.4,-70.4833,59.97,72,23,5.14,few clouds
236,Derzhavinsk,KZ,51.1,66.3167,50.94,50,100,6.22,moderate rain
237,Gejiu,CN,23.306,103.1635,51.93,93,6,2.75,clear sky
238,Takhtamygda,RU,54.1,123.5667,28.72,73,92,3.49,overcast clouds
239,Marsh Harbour,BS,26.5412,-77.0636,76.98,78,43,7.43,scattered clouds
240,Black River,JM,18.0264,-77.8487,79.12,82,69,2.91,broken clouds
241,Grand Gaube,MU,-20.0064,57.6608,72.37,79,76,5.01,broken clouds
242,Atasu,KZ,48.6814,71.6433,45.07,43,22,9.46,few clouds
243,Guayaramerin,BO,-10.8368,-65.3614,76.05,91,99,2.57,overcast clouds
244,Fort Nelson,CA,58.8053,-122.7002,42.39,86,100,8.05,light rain
245,Wilmington,US,34.2257,-77.9447,63.91,71,28,1.01,scattered clouds
246,Faanui,PF,-16.4833,-151.75,79.74,75,9,14.29,clear sky
247,Zaozerne,UA,45.1582,33.2787,49.12,61,6,5.44,clear sky
248,Xining,CN,36.6167,101.7667,42.71,64,100,3.44,overcast clouds
249,Marzuq,YE,14.4,46.4667,65.61,65,1,1.86,clear sky
250,Leh,IN,34.1667,77.5833,27.1,51,6,3.53,clear sky
251,El Dorado,US,38.7666,-120.5177,77.41,29,3,8.7,clear sky
252,Kavieng,PG,-2.5744,150.7967,83.64,68,100,8.9,overcast clouds
253,Lagoa,PT,39.05,-27.9833,64.35,65,100,28.32,overcast clouds
254,San Javier,ES,37.8063,-0.8374,70.12,85,100,3.0,overcast clouds
255,Mirnyy,RU,62.5353,113.9611,24.37,91,100,3.89,overcast clouds
256,Limbang,MY,4.75,115.0,78.91,91,85,1.45,overcast clouds
257,Merauke,ID,-8.4667,140.3333,84.69,71,68,0.87,broken clouds
258,Manokwari,ID,-0.8667,134.0833,81.95,72,100,4.36,overcast clouds
259,Ensley,US,30.5188,-87.2728,66.6,69,0,5.19,clear sky
260,Komsomolskiy,UZ,40.4272,71.7189,47.12,76,6,9.22,clear sky
261,Vuktyl,RU,63.8567,57.3094,32.9,97,100,14.99,light snow
262,La Palma,US,33.8464,-118.0467,84.9,73,0,5.99,clear sky
263,Laguna,US,38.421,-121.4238,85.95,35,0,8.05,clear sky
264,Elizabeth City,US,36.2946,-76.2511,57.22,81,0,5.5,clear sky
265,Comodoro Rivadavia,AR,-45.8667,-67.5,62.46,15,0,5.75,clear sky
266,Santo Antonio Do Sudoeste,BR,-26.0736,-53.7253,58.21,98,27,3.2,scattered clouds
267,Bousso,TD,10.4795,16.7117,75.6,79,60,5.41,broken clouds
268,Tehachapi,US,35.1322,-118.449,80.44,21,0,13.0,clear sky
269,Carberry,CA,49.8689,-99.3602,49.89,50,100,12.5,overcast clouds
270,Lyngseidet,NO,69.5763,20.2189,37.4,95,100,8.3,overcast clouds
271,Tevaitoa,PF,-16.7833,-151.5,79.61,75,8,14.83,clear sky
272,Vardo,NO,70.3705,31.1107,33.78,86,100,9.22,overcast clouds
273,Kpandae,GH,8.4689,-0.0113,76.53,74,37,4.63,scattered clouds
274,Angoche,MZ,-16.2325,39.9086,71.64,86,0,7.49,clear sky
275,Nanfeng,CN,23.7434,111.7959,74.75,45,9,2.33,clear sky
276,Asau,RO,46.4333,26.4,46.08,46,81,5.82,broken clouds
277,Kulhudhuffushi,MV,6.6221,73.07,77.49,87,100,3.78,overcast clouds
278,Suez,EG,29.9737,32.5263,66.49,84,0,8.7,clear sky
279,The Valley,AI,18.217,-63.0578,83.1,78,20,9.22,few clouds
280,Mount Gambier,AU,-37.8333,140.7667,62.51,77,75,5.75,broken clouds
281,Kristinehamn,SE,59.3098,14.1081,41.58,95,47,7.99,scattered clouds
282,Shaunavon,CA,49.6501,-108.4181,41.04,75,100,2.48,overcast clouds
283,Kastamonu,TR,41.5,33.6667,34.84,93,0,1.45,clear sky
284,Smoky Lake,CA,54.1169,-112.4686,42.35,66,100,7.92,overcast clouds
285,Shaowu,CN,27.3409,117.4831,70.16,47,76,1.16,broken clouds
286,Abbeville,FR,50.1,1.8333,60.26,71,61,14.32,broken clouds
287,Saint George,US,37.1041,-113.5841,81.19,18,0,9.22,clear sky
288,Bengkulu,ID,-3.8004,102.2655,76.39,90,100,5.01,overcast clouds
289,Bokoro,TD,12.3807,17.0568,84.74,43,16,5.84,few clouds
290,Camacha,PT,33.0833,-16.3333,65.62,88,0,5.75,clear sky
291,Kuvshinovo,RU,57.0295,34.1725,35.87,96,84,2.57,broken clouds
292,Pasni,PK,25.2631,63.471,76.98,78,0,5.77,clear sky
293,Sola,VU,-13.8833,167.55,80.2,79,100,16.31,heavy intensity rain
294,Salta,AR,-24.7859,-65.4117,77.59,46,40,10.36,scattered clouds
295,Jiaojiang,CN,28.6803,121.4428,70.0,71,87,5.17,overcast clouds
296,Borogontsy,RU,62.6683,131.1683,7.79,96,98,1.86,overcast clouds
297,Toora-Khem,RU,52.4675,96.11,30.52,86,99,1.83,overcast clouds
298,Myaundzha,RU,63.0494,147.1858,-1.59,84,93,2.59,overcast clouds
299,Krasnozerskoye,RU,53.9828,79.2374,49.26,52,100,12.62,overcast clouds
300,Saint-Pierre,RE,-21.3393,55.4781,69.91,73,0,5.75,clear sky
301,Alugan,PH,12.2188,125.4808,82.29,85,100,6.71,overcast clouds
302,Oussouye,SN,12.485,-16.5469,78.82,83,9,4.99,clear sky
