City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Mar Del Plata,AR,2022-10-20 19:03:30,-38.0023,-57.5575,80.83,85,0,14.97
68,Dunedin,NZ,2022-10-20 18:59:59,-45.8742,170.5036,43.81,67,81,5.99
69,Kavaratti,IN,2022-10-20 19:04:35,10.5669,72.642,80.89,77,87,9.26
70,Yellowknife,CA,2022-10-20 19:03:40,62.456,-114.3525,37.56,93,100,17.0
71,Sembe,CG,2022-10-20 19:04:36,1.6481,14.5806,68.36,99,100,1.25
72,Yelizovo,RU,2022-10-20 19:04:37,53.1873,158.3805,37.54,47,40,4.47
73,Tiksi,RU,2022-10-20 19:04:37,71.6872,128.8694,1.94,94,30,10.85
74,Mahebourg,MU,2022-10-20 19:04:38,-20.4081,57.7,72.25,76,8,12.75
75,Hermanus,ZA,2022-10-20 19:04:39,-34.4187,19.2345,61.81,76,95,10.36
76,Alofi,NU,2022-10-20 19:04:39,-19.0595,-169.9187,77.34,81,72,9.06
77,Quatre Cocos,MU,2022-10-20 19:04:41,-20.2078,57.7625,72.09,77,9,13.02
78,Huarmey,PE,2022-10-20 19:04:42,-10.0681,-78.1522,67.3,68,47,12.28
79,Hamilton,US,2022-10-20 19:00:25,39.1834,-84.5333,55.02,28,85,5.01
80,Nanortalik,GL,2022-10-20 19:04:43,60.1432,-45.2371,36.28,60,38,6.2
81,Natal,BR,2022-10-20 19:04:34,-5.795,-35.2094,80.71,63,15,14.54
82,Sitka,US,2022-10-20 19:04:11,57.0531,-135.33,48.6,80,100,5.32
83,Half Moon Bay,US,2022-10-20 19:04:45,37.4636,-122.4286,85.87,66,20,10.36
84,Vardo,NO,2022-10-20 19:04:45,70.3705,31.1107,37.38,65,75,28.77
85,Nioro,GM,2022-10-20 19:04:46,13.35,-15.75,82.17,73,4,4.36
86,Hasaki,JP,2022-10-20 19:04:46,35.7333,140.8333,46.8,55,0,6.29
87,Zhangye,CN,2022-10-20 19:04:47,38.9342,100.4517,46.0,41,0,7.07
88,Touros,BR,2022-10-20 19:04:48,-5.1989,-35.4608,81.25,66,41,17.0
89,Maun,BW,2022-10-20 19:02:36,-19.9833,23.4167,78.98,28,50,4.74
90,Iqaluit,CA,2022-10-20 19:00:16,63.7506,-68.5145,33.98,83,100,18.41
91,New Norfolk,AU,2022-10-20 19:05:49,-42.7826,147.0587,51.3,83,15,2.68
